serial_number,battery_name,data_recieved,tech_date_recieved,battery_status,technical_id,from_swap
AL241197447,NS60LS 45AH,12-Dec-2024,29-Dec-2024,Loaded,2,2
AL241197448,NS60LS 45AH,12-Dec-2024,29-Dec-2024,Loaded,4,4
AL241197449,NS60LS 45AH,12-Dec-2024,,Loaded,,
AL241197450,NS60LS 45AH,12-Dec-2024,,Loaded,,
AL241297684,DIN55L 55AH,12-Dec-2024,19-Dec-2024,Loaded,2,2
AL241297694,DIN55L 60AH,12-Dec-2024,22-Dec-2024,Loaded,4,4
AL241698492,95D31L 90AH,16-Dec-2024,22-Dec-2024,Loaded,2,2
AL241698494,95D31L 90AH,16-Dec-2024,26-Dec-2024,Loaded,2,2
AL241698495,NS40L 35AH,16-Dec-2024,17-Dec-2024,Loaded,2,2
AL241698496,NS40L 35AH,16-Dec-2024,28-Dec-2024,Loaded,4,4
AL241698497,NS40L 35AH,16-Dec-2024,,Loaded,,
AL241698498,DIN44L 45AH,16-Dec-2024,17-Dec-2024,Loaded,2,2
AL241798702,80D26L 70AH,19-Dec-2024,28-Dec-2024,Loaded,2,2
AL241798703,80D26L 70AH,19-Dec-2024,28-Dec-2024,Loaded,4,4
AL241798705,DIN74L 74AH,19-Dec-2024,26-Dec-2024,Loaded,4,4
AL241798706,DIN74L 74AH,19-Dec-2024,26-Dec-2024,Loaded,4,4
AL241798707,DIN74L 74AH,19-Dec-2024,28-Dec-2024,Loaded,2,2
AL241798708,DIN74L 74AH,19-Dec-2024,29-Dec-2024,Loaded,2,2
AL241798709,DIN74L 74AH,19-Dec-2024,,Loaded,,
AL241798710,DIN74L 74AH,19-Dec-2024,,Loaded,,
AL241798711,DIN74L 74AH,19-Dec-2024,,Loaded,,
AL241798712,DIN74L 74AH,19-Dec-2024,,Loaded,,
AL241798713,DIN74L 74AH,19-Dec-2024,,Loaded,,
AL241798715,DIN100L 100AH,19-Dec-2024,23-Dec-2024,Loaded,4,4
AL241798716,DIN100L 100AH,19-Dec-2024,29-Dec-2024,Loaded,2,2
Al242299326,65-72S 75AH,22-Dec-2024,22-Dec-2024,Loaded,2,2
AL242399419,DIN55L 60AH,23-Dec-2024,29-Dec-2024,Loaded,2,2
AL242399420,DIN55L 60AH,23-Dec-2024,29-Dec-2024,Loaded,4,4
AL242399421,DIN55L 60AH,23-Dec-2024,30-Dec-2024,Loaded,2,2
AL242399422,DIN55L 60AH,23-Dec-2024,,Loaded,,
AL242399423,DIN55L 60AH,23-Dec-2024,,Loaded,,
AL242399424,DIN55L 60AH,23-Dec-2024,,Loaded,,
AL242399425,DIN55L 60AH,23-Dec-2024,,Loaded,,
AL242399426,DIN55L 60AH,23-Dec-2024,,Loaded,,
AL242399427,DIN55L 60AH,23-Dec-2024,,Loaded,,
AL242899892,55D23R 60AH,28-Dec-2024,,Loaded,,
AL242899893,55D23R 60AH,28-Dec-2024,,Loaded,,
AL242899894,80D26L 70AH,28-Dec-2024,29-Dec-2024,Loaded,4,4
AL242899895,80D26L 70AH,28-Dec-2024,30-Dec-2024,Loaded,4,4
AL242899896,80D26L 70AH,28-Dec-2024,30-Dec-2024,Loaded,4,4
AL242899897,80D26L 70AH,28-Dec-2024,30-Dec-2024,Loaded,2,2
AL242899898,80D26L 70AH,28-Dec-2024,,Loaded,,
AL242899899,DIN44L 45AH,28-Dec-2024,29-Dec-2024,Loaded,4,4
AL242899900,DIN44L 45AH,28-Dec-2024,,Loaded,,
QBFD23L231630997,55D23L 60AH,1-Jan-2023,,Stock,1,1
QBFL36L231630992,DIN66L 66AH,1-Jan-2023,,Stock,1,1
QBFL34L232532100,DIN74L 74AH,1-Jan-2023,,Stock,1,1
QBFL20L232332039,DIN55L 60AH,1-Jan-2023,,Stock,1,1
QBFD23L232332046,55D23L 60AH,1-Jan-2023,,Stock,1,1
QBFL40L232832331,DIN80L 80AH,1-Jan-2023,,Stock,1,1
QBFD26L232532101,80D26L 70AH,1-Jan-2023,,Stock,1,1
QBFD23L231630998,55D23L 60AH,1-Jan-2023,,Stock,1,1
QBFL20L233132528,DIN55L 60AH,1-Jan-2023,,Stock,1,1
QBFL20A240232564,DIN55L 60AH,2-Jan-2024,,Stock,1,1
QBFD23H232613863,55D23R 55AH,1-Jan-2023,,Stock,1,1
QBFD26L233032491,80D26L 70AH,1-Jan-2023,,Stock,1,1
QBFD23L232832330,55D23L 60AH,1-Jan-2023,,Stock,1,1
QBFD23A240232565,55D23L 60AH,2-Jan-2024,,Stock,1,1
QBFNS6L232031879,NS60LS 45AH,1-Jan-2023,,Stock,1,1
AA240332787,DIN55L 60AH,3-Jan-2024,,Stock,1,1
QBFL25K230925266,DIN55L 55AH,1-Jan-2023,,Stock,1,1
AA240332785,55D23L 60AH,3-Jan-2024,,Stock,1,1
QBFNS6L233132529,NS60LS 45AH,1-Jan-2023,,Stock,1,1
QBFL34L232532099,DIN74L 74AH,1-Jan-2023,,Stock,1,1
AA240332786,55D23L 60AH,3-Jan-2024,,Stock,1,1
QBFD26L232632129,80D26L 70AH,1-Jan-2023,,Stock,1,1
QBFL34L232632128,DIN74L 74AH,1-Jan-2023,,Stock,1,1
QBFD31K232327815,105D31L 100AH,1-Jan-2023,,Stock,1,1
AA240332788,80D26L 70AH,3-Jan-2024,,Stock,1,1
QBFD26L232432050,80D26L 70AH,1-Jan-2023,,Stock,1,1
AA240332789,DIN74L 74AH,3-Jan-2024,,Stock,1,1
AA240432825,80D26L 70AH,4-Jan-2024,,Stock,1,1
AA240633049,80D26L 70AH,6-Jan-2024,,Stock,1,1
QBFNS6L231330258,NS60L 45AH,1-Jan-2023,,Stock,1,1
AA240633045,DIN55L 60AH,6-Jan-2024,,Stock,1,1
QBFNS4K231926663,NS40L 35AH,1-Jan-2023,,Stock,1,1
AA240432826,95D31L 90AH,4-Jan-2024,,Stock,1,1
QBFNS6L232532104,NS60LS 45AH,1-Jan-2023,,Stock,1,1
AA240432824,DIN55L 60AH,4-Jan-2024,,Stock,1,1
QBFD23J233123938,55D23R 55AH,1-Jan-2023,,Stock,1,1
QBFL25K232127315,DIN55L 55AH,1-Jan-2023,,Stock,1,1
AA240733550,80D26L 70AH,7-Jan-2024,,Stock,1,1
AA241133809,NS60LS 45AH,11-Jan-2024,,Stock,1,1
AA240733552,DIN74L 74AH,7-Jan-2024,,Stock,1,1
QBFD39L232732253,95D31L 90AH,1-Jan-2023,,Stock,1,1
AA240633050,80D26L 70AH,6-Jan-2024,,Stock,1,1
AA240933695,DIN55L 60AH,9-Jan-2024,,Stock,1,1
AA240432823,DIN55L 60AH,4-Jan-2024,,Stock,1,1
QBFL36L231630993,DIN66L 66AH,1-Jan-2023,,Stock,1,1
AA240633048,DIN74L 74AH,6-Jan-2024,,Stock,1,1
QBFD26J231121956,80D26R 70AH,1-Jan-2023,,Stock,1,1
AA240432827,95D31L 90AH,4-Jan-2024,,Stock,1,1
QBFNS6A240232562,NS60LS 45AH,2-Jan-2024,,Stock,1,1
AA240633043,NS60LS 45AH,6-Jan-2024,,Stock,1,1
AA240633044,DIN55L 55AH,6-Jan-2024,,Stock,1,1
AA240833629,80D26L 70AH,8-Jan-2024,,Stock,1,1
QBFL36A240232563,DIN66L 66AH,2-Jan-2024,,Stock,1,1
AA241434175,DIN66L 66AH,14-Jan-2024,,Stock,1,1
AA241434073,95D31L 90AH,14-Jan-2024,,Stock,1,1
QBFL25K232327816,DIN55L 55AH,1-Jan-2023,,Stock,1,1
AA241434176,DIN66L 66AH,14-Jan-2024,,Stock,1,1
AA240833628,80D26L 70AH,8-Jan-2024,,Stock,1,1
QBF72SL232632127,65-72S 75AH,1-Jan-2023,,Stock,1,1
AA241133808,80D26L 70AH,11-Jan-2024,,Stock,1,1
AA240833630,DIN74L 74AH,8-Jan-2024,,Stock,1,1
AA240432822,55D23L 60AH,4-Jan-2024,,Stock,1,1
AA241333968,80D26L 70AH,13-Jan-2024,,Stock,1,1
AA241534213,80D26L 70AH,15-Jan-2024,,Stock,1,1
AA241634349,80D26L 70AH,16-Jan-2024,,Stock,1,1
AA241634350,80D26L 70AH,16-Jan-2024,,Stock,1,1
AA241634414,DIN74L 74AH,17-Jan-2024,,Stock,1,1
AA241133810,DIN55L 55AH,11-Jan-2024,,Stock,1,1
AA240633047,55D23L 60AH,6-Jan-2024,,Stock,1,1
AA241333969,NS60LS 45AH,13-Jan-2024,,Stock,1,1
AA240432821,55D23L 60AH,4-Jan-2024,,Stock,1,1
AA241734418,80D26L 70AH,17-Jan-2024,,Stock,1,1
AA241333971,DIN55L 60AH,13-Jan-2024,,Stock,1,1
AA240633046,55D23L 60AH,6-Jan-2024,,Stock,1,1
AA241434178,95D31L 90AH,14-Jan-2024,,Stock,1,1
AA241734420,80D26L 70AH,17-Jan-2024,,Stock,1,1
QBFD31L232031878,105D31R 100AH,1-Jan-2023,,Stock,1,1
AA241133811,DIN55L 60AH,11-Jan-2024,,Stock,1,1
AA241634413,DIN74L 74AH,17-Jan-2024,,Stock,1,1
AA241634415,DIN74L 74AH,17-Jan-2024,,Stock,1,1
AA241634412,DIN66L 66AH,17-Jan-2024,,Stock,1,1
AA241734417,80D26L 70AH,17-Jan-2024,,Stock,1,1
AA24S2335204,DIN74L 74AH,23-Jan-2024,,Stock,1,1
AA241734419,80D26L 70AH,17-Jan-2024,,Stock,1,1
AA242134950,80D26L 70AH,21-Jan-2024,,Stock,1,1
AA242335203,80D26L 70AH,23-Jan-2024,,Stock,1,1
AA242134949,80D26L 70AH,21-Jan-2024,,Stock,1,1
QBF72SL232632126,65-72S 75AH,1-Jan-2023,,Stock,1,1
AA241333972,DIN55L 60AH,13-Jan-2024,,Stock,1,1
AA241333967,80D26R 70AH,13-Jan-2024,,Stock,1,1
AA241534212,DIN55L 60AH,15-Jan-2024,,Stock,1,1
AA242034904,NS60LS 45AH,20-Jan-2024,,Stock,1,1
AA242134953,DIN55L 60AH,21-Jan-2024,,Stock,1,1
AA242235041,105D31R 100AH,22-Jan-2024,,Stock,1,1
AA242335245,80D26L 70AH,23/Jan/2024,,Stock,2,2
AA242335260,DIN66L 66AH,23/Jan/2024,,Stock,2,2
QBFL15L232332038,DIN44L 45AH,1-Jan-2023,,Stock,1,1
AA242235040,DIN55L 60AH,22-Jan-2024,,Stock,1,1
AA241734461,NS60LS 45AH,17-Jan-2024,,Stock,1,1
AA240933696,95D31L 90AH,9-Jan-2024,,Stock,1,1
AA242335247,55D23L 60AH,23/Jan/2024,,Stock,2,2
AA242535351,DIN55L 60AH,25/Jan/2024,,Stock,1,1
AA24S2335205,DIN74L 74AH,23-Jan-2024,,Stock,1,1
AA24S2435347,DIN74L 74AH,25/Jan/2024,,Stock,1,1
AA242435313,105D31R 100AH,24/Jan/2024,,Stock,1,1
AA24S2435346,DIN74L 74AH,25/Jan/2024,,Stock,1,1
AA242134951,55D23L 60AH,21-Jan-2024,,Stock,1,1
AA242335253,DIN55L 60AH,23/Jan/2024,,Stock,2,2
AA24S3135796,DIN74L 74AH,31/Jan/2024,,Stock,1,1
AA242435308,80D26L 70AH,24/Jan/2024,,Stock,1,1
AA242435309,80D26L 70AH,24/Jan/2024,,Stock,1,1
QBFNS6L230429752,NS60L 45AH,1-Jan-2023,,Stock,1,1
QBFL15K232828673,DIN44L 45AH,1-Jan-2023,,Stock,2,1
AB240135848,DIN55L 60AH,1/Feb/2024,,Stock,2,2
AA242335259,NS40L 35AH,23/Jan/2024,,Stock,2,2
AA241634352,65-72S 75AH,16-Jan-2024,,Stock,1,1
AB240336162,NS40L 35AH,3/Feb/2024,,Stock,2,2
AA24S3135795,DIN74L 74AH,31/Jan/2024,,Stock,1,1
AA242134952,95D31L 90AH,21-Jan-2024,,Stock,1,1
AA242435310,80D26L 70AH,24/Jan/2024,,Stock,1,1
AB240336159,NS60L 45AH,3/Feb/2024,,Stock,1,1
AA242735486,NS60LS 45AH,27/Jan/2024,,Stock,1,1
AA241333970,55D23R 60AH,13-Jan-2024,,Stock,1,1
AB240436453,DIN80L 80AH,4/Feb/2024,,Stock,1,1
AB240436305,NS40L 35AH,4/Feb/2024,,Stock,2,2
AA241734462,NS60LS 45AH,17-Jan-2024,,Stock,2,1
AB240136010,DIN74L 74AH,3/Feb/2024,,Stock,1,1
AB240436454,DIN100L 100AH,4/Feb/2024,,Stock,1,1
AA242535350,80D26R 70AH,25/Jan/2024,,Stock,1,1
AA242335248,55D23L 60AH,23/Jan/2024,,Stock,2,2
AA242735487,DIN55L 60AH,27/Jan/2024,,Stock,1,1
AA241634411,DIN66L 66AH,17-Jan-2024,,Stock,1,1
AA243035582,DIN55L 60AH,30/Jan/2024,,Stock,1,1
AB240536524,NS40L 35AH,5/Feb/2024,,Stock,2,2
AA240933693,NS60L 45AH,9-Jan-2024,,Stock,2,1
AA242835491,80D26L 70AH,28/Jan/2024,,Stock,2,2
AA242335202,DIN66L 66AH,23-Jan-2024,,Stock,1,1
AA242835492,DIN55L 60AH,28/Jan/2024,,Stock,1,1
AA242935519,DIN44L 45AH,29/Jan/2024,,Stock,1,1
AA242435311,80D26L 70AH,24/Jan/2024,,Stock,1,1
AA241634351,55D23L 60AH,16-Jan-2024,,Stock,1,1
AB240737041,DIN66L 66AH,7/Feb/2024,,Stock,1,1
AA241434177,95D31L 90AH,14-Jan-2024,,Stock,2,1
AA242935517,DIN55L 60AH,29/Jan/2024,,Stock,1,1
AB240436370,DIN74L 74AH,4/Feb/2024,,Stock,1,1
AB240736986,55D23L 60AH,7/Feb/2024,,Stock,2,2
QBFD26J233123939,80D26R 70AH,1-Jan-2023,,Stock,2,1
AB240536525,NS60L 45AH,5/Feb/2024,,Stock,2,2
AB240737042,DIN55L 60AH,7/Feb/2024,,Stock,1,1
AB240737043,DIN55L 60AH,7/Feb/2024,,Stock,1,1
AB240736985,NS60L 45AH,7/Feb/2024,,Stock,2,2
AB240736984,80D26L 70AH,7/Feb/2024,,Stock,2,2
AA242935520,95D31L 90AH,29/Jan/2024,,Stock,1,1
AB240837238,DIN55L 60AH,8/Feb/2024,,Stock,1,1
AB241037351,DIN44L 45AH,10/Feb/2024,,Stock,1,1
AB240436452,DIN80L 80AH,4/Feb/2024,,Stock,1,1
AB241137503,55D23L 60AH,12-Feb-2024,,Stock,2,2
AA243035581,55D23L 60AH,30/Jan/2024,,Stock,2,2
AA242335244,80D26L 70AH,23/Jan/2024,,Stock,2,2
QBFD23L231630994,55D23L 55AH,1-Jan-2023,,Stock,1,1
AA242034902,55D23L 60AH,20-Jan-2024,,Stock,1,1
AB240336160,95D31L 90AH,3/Feb/2024,,Stock,1,1
AB241437875,55D23L 60AH,14/Feb/2024,,Stock,2,2
AB240136011,DIN74L 74AH,1/Feb/2024,,Stock,2,2
AB240536610,DIN74L 74AH,5/Feb/2024,,Stock,1,1
AB240536611,DIN80L 80AH,5/Feb/2024,,Stock,1,1
AB241137468,DIN74L 74AH,11/Feb/2024,,Stock,1,1
AB241137467,DIN55L 60AH,11/Feb/2024,,Stock,1,1
AB241237672,DIN55L 60AH,12/Feb/2024,,Stock,1,1
AB240536607,55D23R 60AH,5/Feb/2024,,Stock,1,1
AB240636773,80D26R 70AH,6/Feb/2024,,Stock,1,1
AB241738230,DIN74L 74AH,17/Feb/2024,,Stock,1,1
AB241437877,80D26L 70AH,14/Feb/2024,,Stock,2,2
AB241237678,NS60L 45AH,12/Feb/2024,,Stock,2,2
AB241237677,NS60LS 45AH,12/Feb/2024,,Stock,2,2
AA242835493,105D31R 100AH,28/Jan/2024,,Stock,1,1
AB240837239,DIN66L 66AH,8/Feb/2024,,Stock,1,1
AB240436456,NS60L 45AH,4/Feb/2024,,Stock,1,1
AA242335249,55D23R 60AH,23/Jan/2024,,Stock,2,2
AB241237673,DIN55L 60AH,12/Feb/2024,,Stock,1,1
AB241938489,105D31R 100AH,19/Feb/2024,,Stock,1,1
AB240536608,NS60L 45AH,5/Feb/2024,,Stock,1,1
AA242935504,DIN66L 66AH,29/Jan/2024,,Stock,2,2
AB241738231,DIN74L 74AH,17/Feb/2024,,Stock,1,1
AB241437872,DIN55L 60AH,14/Feb/2024,,Stock,1,1
AA242034903,55D23L 60AH,20-Jan-2024,,Stock,1,1
AB241738227,55D23L 60AH,17/Feb/2024,,Stock,2,2
AB241838430,DIN74L 74AH,18/Feb/2024,,Stock,1,1
AB241538084,95D31L 90AH,15/Feb/2024,,Stock,1,1
AB241037349,55D23L 60AH,10/Feb/2024,,Stock,1,1
AB240336158,80D26L 70AH,3/Feb/2024,,Stock,1,1
AB241838427,80D26R 70AH,18/Feb/2024,,Stock,1,1
AB241538083,55D23L 60AH,15/Feb/2024,,Stock,1,1
AB242038662,DIN74L 74AH,20/Feb/2024,,Stock,1,1
AB241037350,80D26L 70AH,10/Feb/2024,,Stock,1,1
AB240436371,80D26L 70AH,4/Feb/2024,,Stock,1,1
AB242138891,DIN66L 66AH,21/Feb/2024,,Stock,2,2
AB240436457,DIN80L 80AH,5/Feb/2024,,Stock,2,2
AB240336163,DIN55L 60AH,3/Feb/2024,,Stock,2,2
AB240336157,80D26L 70AH,3/Feb/2024,,Stock,1,1
AB241237674,95D31L 90AH,12/Feb/2024,,Stock,1,1
AA242335252,DIN55L 60AH,23/Jan/2024,,Stock,2,2
AB241738229,DIN74L 74AH,17/Feb/2024,,Stock,2,2
AA243135794,55D23L 60AH,31/Jan/2024,,Stock,1,1
AA242435312,65-72S 75AH,24/Jan/2024,,Stock,1,1
AB242238965,55D23L 60AH,22/Feb/2024,,Stock,1,1
AB242439111,DIN74L 74AH,24/Feb/2024,,Stock,1,1
AB242439108,80D26L 70AH,24/Feb/2024,,Stock,1,1
AB242539304,80D26L 70AH,25/Feb/2024,,Stock,1,1
AB241437876,55D23L 60AH,14/Feb/2024,,Stock,2,2
AB241838425,NS60LS 45AH,18/Feb/2024,,Stock,2,2
AA242335254,DIN55L 55AH,23/Jan/2024,,Stock,2,2
AB242439106,55D23L 60AH,24/Feb/2024,,Stock,1,1
AB242138871,DIN55L 60AH,21/Feb/2024,,Stock,1,1
AB242439112,95D31L 90AH,24/Feb/2024,,Stock,1,1
AB241838428,DIN55L 60AH,18/Feb/2024,,Stock,1,1
AB241838429,DIN55L 60AH,18/Feb/2024,,Stock,1,1
AA243035583,105D31R 100AH,30/Jan/2024,,Stock,1,1
AB242639465,80D26L 70AH,26/Feb/2024,,Stock,1,1
AB241037352,DIN66L 66AH,10/Feb/2024,,Stock,1,1
AB241437873,DIN80L 80AH,14/Feb/2024,,Stock,1,1
AB242539303,80D26L 70AH,25/Feb/2024,,Stock,1,1
AB242439107,55D23L 60AH,24/Feb/2024,,Stock,1,1
AB242739576,DIN55L 60AH,27/Feb/2024,,Stock,2,2
AB241838424,80D26L 70AH,18/Feb/2024,,Stock,2,2
AB241938486,DIN55L 60AH,19/Feb/2024,,Stock,1,1
AA242935518,NS60LS 45AH,29/Jan/2024,,Stock,1,1
AB242939702,DIN55L 55AH,29/Feb/2024,,Stock,2,2
AB242839616,80D26L 70AH,28/Feb/2024,,Stock,1,1
AB242839617,80D26L 70AH,28/Feb/2024,,Stock,1,1
QBFL25K230624828,DIN55R 60AH,1-Jan-2023,,Stock,2,1
QBFL25J232523080,DIN55R 60AH,1-Jan-2023,,Stock,1,1
QBFL25J231622608,DIN55R 55AH,1-Jan-2023,,Stock,1,1
AB242439110,DIN74L 74AH,24/Feb/2024,,Stock,1,1
AB242439109,80D26R 70AH,24/Feb/2024,,Stock,1,1
AC240339843,80D26L 70AH,3/Mar/2024,,Stock,1,1
AB242639464,55D23L 60AH,26/Feb/2024,,Stock,1,1
AC240640053,80D26L 70AH,6/Mar/2024,,Stock,1,1
AB242839618,DIN74L 74AH,28/Feb/2024,,Stock,1,1
AB240536609,NS60LS 45AH,5/Feb/2024,,Stock,1,1
AB242939710,DIN55L 60AH,29/Feb/2024,,Stock,1,1
AC240439902,NS60LS 45AH,4/Mar/2024,,Stock,1,1
AC240640054,80D26L 70AH,6/Mar/2024,,Stock,1,1
AB242639466,95D31L 90AH,26/Feb/2024,,Stock,1,1
AB240436304,NS40L 35AH BH,4/Feb/2024,,Stock,2,2
AC240239800,DIN55L 60AH,2/Mar/2024,,Stock,1,1
AB241738232,DIN80L 80AH,17/Feb/2024,,Stock,1,1
AB242939711,55D23L 60AH,29/Feb/2024,,Stock,1,1
AB241938481,55D23R 60AH,19/Feb/2024,,Stock,2,2
AC240740210,80D26L 70AH,10/Mar/2024,,Stock,1,1
QBFD23L231630995,55D23L 55AH,1-Jan-2023,,Stock,1,1
AB242739575,DIN74L 74AH,27/Feb/2024,,Stock,2,2
AB242839615,55D23L 60AH,28/Feb/2024,,Stock,1,1
AC240339844,80D26L 70AH,3/Mar/2024,,Stock,1,1
AB241938485,NS60LS 45AH,19/Feb/2024,,Stock,2,2
AB242639517,95D31L 90AH,2/Mar/2024,,Stock,1,1
AB240536581,DIN100L 100AH,6/Feb/2024,,Stock,1,1
AB240336167,65-72S 75AH,3/Feb/2024,,Stock,1,1
AC240239801,DIN55L 60AH,2/Mar/2024,,Stock,1,1
AC240439900,55D23L 60AH,4/Mar/2024,,Stock,1,1
QBFD31L232332037,105D31R 100AH,1-Jan-2023,,Stock,2,1
QBFNS4K230825193,NS40L 35AH,1-Jan-2023,,Stock,1,1
AC240439901,DIN55L 60AH,4/Mar/2024,,Stock,1,1
AB241237676,80D26L 70AH,12/Feb/2024,,Stock,2,2
AB241938488,DIN66L 66AH,19/Feb/2024,,Stock,1,1
AC240740166,80D26L 70AH,7/Mar/2024,,Stock,1,1
AB242038661,105D31R 100AH,20/Feb/2024,,Stock,1,1
AB242639519,105D31R 100AH,2/Mar/2024,,Stock,1,1
AB241738228,DIN74L 74AH,17/Feb/2024,,Stock,2,2
AB241237679,NS60LS 45AH,12/Feb/2024,,Stock,2,2
AC241140356,DIN80L 80AH,11/Mar/2024,,Stock,1,1
AB240436455,DIN100L 100AH,4/Feb/2024,,Stock,1,1
AC240740168,55D23L 60AH,7/Mar/2024,,Stock,1,1
AB242839619,55D23L 60AH,28/Feb/2024,,Stock,2,2
AC241140354,55D23L 60AH,11/Mar/2024,,Stock,1,1
AC240439898,80D26L 70AH,4/Mar/2024,,Stock,2,2
AC241840895,80D26L 70AH,18/Mar/2024,,Stock,2,2
AC241740828,105D31R 100AH,17/Mar/2024,,Stock,2,2
QBFL34L230229237,DIN74R 74AH,1-Jan-2023,,Stock,1,1
AC241840905,105D31R 100AH,18/Mar/2024,,Stock,1,1
AC241840904,105D31R 100AH,18/Mar/2024,,Stock,1,1
AA242335250,55D23L 55AH,23/Jan/2024,,Stock,2,2
AB242639461,DIN55L 60AH,26/Feb/2024,,Stock,2,2
AC241340486,NS60LS 45AH,13/Mar/2024,,Stock,2,2
AC241640779,DIN100L 100AH,16/Mar/2024,,Stock,1,1
AA240733551,105D31L 100AH,7-Jan-2024,,Stock,1,1
AC242441445,N200R 200AH,24/Mar/2024,,Stock,1,1
AC242441446,N200R 200AH,24/Mar/2024,,Stock,1,1
AB242038663,NS60L 45AH,20/Feb/2024,,Stock,1,1
AC241340581,55D23L 60AH,13/Mar/2024,,Stock,1,1
AC240940283,80D26L 70AH,9/Mar/2024,,Stock,1,1
AC240740167,DIN74L 74AH,7/Mar/2024,,Stock,1,1
AC240740169,80D26R 70AH,7/Mar/2024,,Stock,1,1
AC241640777,55D23L 60AH,16/Mar/2024,,Stock,1,1
AB242238964,55D23L 60AH,22/Feb/2024,,Stock,2,2
AC240940286,NS60LS 45AH,9/Mar/2024,,Stock,1,1
AC242041112,DIN74L 74AH,20/Mar/2024,,Stock,2,2
AA242335246,80D26L 70AH,23/Jan/2024,,Stock,2,2
AC242141267,80D26L 70AH,21/Mar/2024,,Stock,2,2
AB241237675,80D26R 70AH,12/Feb/2024,,Stock,2,2
AC240940284,DIN55L 60AH,9/Mar/2024,,Stock,1,1
AC242041114,55D23L 60AH,20/Mar/2024,,Stock,1,1
AC242141316,55D23L 60AH,21/Mar/2024,,Stock,1,1
AC242741584,55D23L 60AH,27/Mar/2024,,Stock,2,2
AA242335255,DIN55L 55AH,23/Jan/2024,,Stock,2,2
AC241240421,80D26L 70AH,12/Mar/2024,,Stock,1,1
AC241140355,DIN55L 60AH,11/Mar/2024,,Stock,1,1
AC241340582,80D26L 70AH,13/Mar/2024,,Stock,1,1
